"name","year","genre","length","user_rating","director","synopsis"
"Alien","(1979)"," Horror, Sci-Fi            ","117 min","8.5","Ridley Scott"," The crew of a commercial spacecraft encounters a deadly lifeform after investigating an unknown transmission."
"Psycho","(1960)"," Horror, Mystery, Thriller            ","109 min","8.5","Alfred Hitchcock"," A Phoenix secretary embezzles $40,000 from her employer's client, goes on the run and checks into a remote motel run by a young man under the domination of his mother."
"The Shining","(1980)"," Drama, Horror            ","146 min","8.4","Stanley Kubrick"," A family heads to an isolated hotel for the winter where a sinister presence influences the father into violence, while his psychic son sees horrific forebodings from both past and future."
"The Thing","(1982)"," Horror, Mystery, Sci-Fi            ","109 min","8.2","John Carpenter"," A research team in Antarctica is hunted by a shape-shifting alien that assumes the appearance of its victims."
"Tumbbad","(2018)"," Drama, Fantasy, Horror            ","104 min","8.2","Rahi Anil Barve"," A mythological story about a goddess who created the entire universe. The plot revolves around the consequences when humans build a temple for her first-born."
"The Exorcist","(1973)"," Horror            ","122 min","8.1","William Friedkin"," When a young girl is possessed by a mysterious entity, her mother seeks the help of two Catholic priests to save her life."
"Diabolique","(1955)"," Crime, Drama, Horror            ","117 min","8.1","Henri-Georges Clouzot"," The wife and mistress of a loathed school principal plan to murder him with what they believe is the perfect alibi."
"Rosemary's Baby","(1968)"," Drama, Horror            ","137 min","8.0","Roman Polanski"," A young couple trying for a baby moves into an aging, ornate apartment building on Central Park West, where they find themselves surrounded by peculiar neighbors."
"What Ever Happened to Baby Jane?","(1962)"," Drama, Horror, Thriller            ","134 min","8.0","Robert Aldrich"," A former child star torments her paraplegic sister in their decaying Hollywood mansion."
"The Cabinet of Dr. Caligari","(1920)"," Horror, Mystery, Thriller            ","67 min","8.0","Robert Wiene"," Hypnotist Dr. Caligari uses a somnambulist, Cesare, to commit murders."
"Shaun of the Dead","(2004)"," Comedy, Horror            ","99 min","7.9","Edgar Wright"," The uneventful, aimless lives of a London electronics salesman and his layabout roommate are disrupted by the zombie apocalypse."
"Nosferatu","(1922)"," Fantasy, Horror            ","94 min","7.9","F.W. Murnau"," Vampire Count Orlok expresses interest in a new residence and real estate agent Hutter's wife."
"King Kong","(1933)"," Adventure, Horror, Sci-Fi            ","100 min","7.9","Merian C. Cooper"," A film crew goes to a tropical island for a location shoot, where they capture a colossal ape who takes a shine to their blonde starlet, and bring him back to New York City."
"Get Out","(I) (2017)"," Horror, Mystery, Thriller            ","104 min","7.8","Jordan Peele"," A young African-American visits his White girlfriend's parents for the weekend, where his simmering uneasiness about their reception of him eventually reaches a boiling point."
"Predator","(1987)"," Action, Adventure, Horror            ","107 min","7.8","John McTiernan"," A team of commandos on a mission in a Central American jungle find themselves hunted by an extraterrestrial warrior."
"Night of the Living Dead","(1968)"," Horror, Thriller            ","96 min","7.8","George A. Romero"," A ragtag group of survivors barricade themselves in an old farmhouse to remain safe from a horde of flesh-eating ghouls that are ravaging the Northeast portion of the United States."
"Freaks","(1932)"," Drama, Horror            ","64 min","7.8","Tod Browning"," A circus' beautiful trapeze artist agrees to marry the leader of side-show performers, but his deformed friends discover she is only marrying him for his inheritance."
"Frankenstein","(1931)"," Drama, Horror, Sci-Fi            ","70 min","7.8","James Whale"," Dr Henry Frankenstein is obsessed with assembling a living being from parts of several exhumed corpses."
"Dawn of the Dead","(1978)"," Horror, Thriller            ","127 min","7.8","George A. Romero"," During an escalating zombie epidemic, two Philadelphia SWAT team members, a traffic reporter and his TV executive girlfriend seek refuge in a secluded shopping mall."
"Let the Right One In","(2008)"," Drama, Fantasy, Horror            ","114 min","7.8","Tomas Alfredson"," Oskar, an overlooked and bullied boy, finds love and revenge through Eli, a beautiful but peculiar girl."
"The Bride of Frankenstein","(1935)"," Drama, Horror, Sci-Fi            ","75 min","7.8","James Whale"," Mary Shelley reveals the main characters of her novel survived: Dr. Frankenstein, goaded by an even madder scientist, builds his monster a mate."
"The Innocents","(1961)"," Horror            ","100 min","7.8","Jack Clayton"," A young governess for two children becomes convinced that the house and grounds are haunted."
"Halloween","(1978)"," Horror, Thriller            ","91 min","7.7","John Carpenter"," Fifteen years after murdering his sister on Halloween night 1963, Michael Myers escapes from a mental hospital and returns to the small town of Haddonfield, Illinois to kill again."
"Evil Dead II","(1987)"," Comedy, Horror            ","84 min","7.7","Sam Raimi"," The lone survivor of an onslaught of flesh-possessing spirits holes up in a cabin with a group of strangers while the demons continue their attack."
"Invasion of the Body Snatchers","(1956)"," Drama, Horror, Sci-Fi            ","80 min","7.7","Don Siegel"," A small-town doctor learns that the population of his community is being replaced by emotionless alien duplicates."
"Saw","(2004)"," Horror, Mystery, Thriller            ","103 min","7.6","James Wan"," Two strangers awaken in a room with no recollection of how they got there, and soon discover they're pawns in a deadly game perpetrated by a notorious serial killer."
"American Psycho","(2000)"," Crime, Drama, Horror            ","102 min","7.6","Mary Harron"," A wealthy New York City investment banking executive, Patrick Bateman, hides his alternate psychopathic ego from his co-workers and friends as he delves deeper into his violent, hedonistic fantasies."
