Rank,Player,Pos,Team,GP,GS,MIN,PTS,AST,STL,BLK,TOV,REB,OREB,DREB,FGM,FG%,3PTM,FT%,FTM,Cash2023,Age
,Jayson Tatum,PF,BOS,74,74,"2,732","2,225",342,78,51,213,649,78,571,727,46.6,240,35,531,"$32,600,060 ",24
,Giannis Antetokounmpo,PF,MIL,63,63,"2,023","1,959",359,52,51,246,742,137,605,707,55.3,47,27.5,498,"$45,640,084 ",28
,Julius Randle,PF,NYK,77,77,"2,737","1,936",316,49,21,216,767,141,626,658,45.9,218,34.3,402,"$25,660,800 ",28
,DeMar DeRozan,SF,CHI,74,74,"2,681","1,816",377,83,36,153,343,34,309,657,50.4,46,32.4,456,"$28,600,000 ",33
,Jaylen Brown,SF,BOS,67,67,"2,404","1,784",232,75,26,197,459,78,381,679,49.1,163,33.5,263,"$28,508,929 ",26
,Pascal Siakam,PF,TOR,71,71,"2,651","1,720",415,65,36,169,556,131,425,630,48,93,32.4,367,"$37,893,408 ",28
,Lauri Markkanen,PF,UTA,66,66,"2,272","1,691",123,42,38,127,570,130,440,571,49.9,200,39.1,349,"$17,259,999 ",25
,Mikal Bridges,SF,BKN,83,83,"2,950","1,671",273,91,61,127,364,79,285,593,46.8,169,38.2,316,"$21,700,000 ",26
,LeBron James,PF,LAL,55,54,"1,953","1,590",375,50,32,178,457,65,392,609,50,121,32.1,251,"$47,607,350 ",38
,Domantas Sabonis,PF,SAC,79,79,"2,735","1,510",573,65,39,230,973,251,722,577,61.5,31,37.3,325,"$19,400,000 ",26
,Kristaps Porzingis,PF,WAS,65,65,"2,119","1,505",174,58,100,137,546,114,432,507,49.8,137,38.5,354,"$36,016,200 ",27
,Franz Wagner,SF,ORL,80,80,"2,608","1,485",283,77,17,167,329,70,259,542,48.5,130,36.1,271,"$5,508,720 ",21
,Jimmy Butler,SF,MIA,64,64,"2,138","1,466",340,117,21,101,375,141,234,479,53.9,36,35,472,"$45,183,960 ",33
,Paolo Banchero,PF,ORL,72,72,"2,429","1,437",269,60,39,200,497,84,413,479,42.7,85,29.8,394,"$11,608,080 ",20
,Keldon Johnson,SF,SAS,63,63,"2,063","1,385",183,46,11,134,318,56,262,503,45.2,134,32.9,245,"$20,000,000 ",23
,Kevin Durant,SF,PHX,47,47,"1,671","1,366",235,34,67,156,313,17,296,483,56,93,40.4,307,"$46,407,433 ",34
,Kyle Kuzma,SF,WAS,64,64,"2,238","1,357",239,36,29,190,464,56,408,512,44.8,160,33.3,173,"$25,568,182 ",27
,Jerami Grant,PF,POR,63,63,"2,245","1,290",150,51,53,116,283,53,230,434,47.5,144,40.1,278,"$27,586,207 ",28
,Evan Mobley,PF,CLE,79,79,"2,715","1,277",224,60,119,146,711,187,524,525,55.4,22,21.6,205,"$8,882,640 ",21
,Bojan Bogdanovic,SF,DET,59,59,"1,892","1,273",152,34,8,135,223,36,187,430,48.8,145,41.1,268,"$20,000,000 ",33
,Kawhi Leonard,SF,LAC,52,50,"1,747","1,239",204,72,28,88,338,57,281,446,51.2,104,41.6,243,"$45,640,084 ",31
,Harrison Barnes,PF,SAC,82,82,"2,650","1,230",128,57,10,86,366,87,279,374,47.3,132,37.4,350,"$17,000,000 ",30
,Jaren Jackson Jr.,PF,MEM,63,63,"1,787","1,173",60,65,189,107,426,108,318,416,50.6,100,35.5,241,"$27,102,202 ",23
,Trey Murphy III,SF,NOP,79,65,"2,435","1,148",112,89,43,61,281,59,222,387,48.4,202,40.6,172,"$3,359,280 ",22
,PJ Washington,PF,CHA,73,73,"2,379","1,144",175,66,79,110,358,73,285,434,44.4,149,34.8,127,$0 ,24
,OG Anunoby,SF,TOR,67,67,"2,385","1,124",131,128,50,132,332,95,237,421,47.6,142,38.7,140,"$18,642,857 ",25
,Brandon Ingram,SF,NOP,45,45,"1,538","1,112",262,32,19,148,246,23,223,404,48.4,64,39,240,"$33,833,400 ",25
,Aaron Gordon,PF,DEN,68,68,"2,055","1,109",203,54,51,98,446,164,282,429,56.4,60,34.7,191,"$21,266,182 ",27
,Tobias Harris,PF,PHI,74,74,"2,435","1,085",186,68,40,89,424,67,357,423,50.1,126,38.9,113,"$39,270,150 ",30
,Michael Porter Jr.,SF,DEN,62,62,"1,797","1,080",65,37,29,68,341,64,277,398,48.7,188,41.4,96,"$33,386,850 ",24
,Saddiq Bey,SF,ATL,77,37,"2,128","1,062",118,70,13,71,362,98,264,353,42.2,151,36.1,205,"$4,556,983 ",23
,Jalen Williams,SF,OKC,75,62,"2,275","1,056",248,103,35,123,337,84,253,414,52.1,73,35.6,155,"$4,558,680 ",21
,Dillon Brooks,SF,MEM,73,73,"2,214","1,047",189,65,16,104,244,45,199,392,39.6,143,32.6,120,"$22,600,000 ",27
,Kenyon Martin Jr.,SF,HOU,82,49,"2,292","1,039",123,41,30,91,452,126,326,410,56.9,68,31.5,151,"$1,930,681 ",22
,De'Andre Hunter,SF,ATL,67,67,"2,125","1,029",94,35,17,82,284,46,238,379,46.1,100,35,171,"$20,089,286 ",25
,Jabari Smith Jr.,PF,HOU,79,79,"2,450","1,010",101,43,74,104,569,122,447,364,40.8,120,30.7,162,"$9,326,520 ",19
,Bobby Portis,PF,MIL,70,22,"1,818",987,105,29,16,81,672,154,518,398,49.6,95,37,96,"$11,710,818 ",27
,Keegan Murray,PF,SAC,80,78,"2,381",976,98,61,42,60,371,89,282,354,45.3,206,41.1,62,"$8,409,000 ",22
