Player,Pos,Team,GP,GS,MIN,PTS,AST,STL,BLK,TOV,REB,OREB,DREB,FGM,FG%,3PTM,FT%,FTM,Cash2023,Age,,,
Luka Doncic,PG,DAL,66,66,"2,390","2,138",529,90,33,236,569,54,515,719,49.6,185,34.2,515,40064220,23,,,
Shai Gilgeous-Alexander,PG,OKC,68,68,"2,416","2,135",371,112,65,192,329,59,270,704,51,58,34.5,669,33386850,24,,,
Anthony Edwards,SG,MIN,79,79,"2,841","1,946",350,125,58,259,458,47,411,707,45.9,213,36.9,319,13534817,21,,,
Donovan Mitchell,SG,CLE,68,68,"2,415","1,922",301,99,27,180,289,63,226,679,48.4,245,38.6,319,32600060,26,,,
Trae Young,PG,ATL,73,73,"2,540","1,914",741,80,9,300,217,56,161,597,42.9,154,33.5,566,40064220,24,,,
Zach LaVine,SG,CHI,77,77,"2,767","1,913",327,69,18,194,345,42,303,673,48.5,204,37.5,363,40064220,27,,,
Damian Lillard,PG,POR,58,58,"2,106","1,866",425,50,18,191,277,44,233,556,46.3,244,37.1,510,45640084,32,,,
De'Aaron Fox,PG,SAC,73,73,"2,435","1,826",447,83,23,181,306,40,266,682,51.2,119,32.4,343,32600060,25,,,
Jalen Green,SG,HOU,76,76,"2,602","1,683",281,59,18,200,284,43,241,566,41.6,187,33.8,364,9891480,20,,,
Jordan Poole,SG,GSW,82,42,"2,458","1,675",369,63,21,252,225,32,193,550,43,214,33.6,361,27455357,23,,,
Stephen Curry,PG,GSW,56,56,"1,941","1,648",352,52,20,179,341,39,302,559,49.3,273,42.7,257,51915615,34,,,
Jalen Brunson,PG,NYK,68,68,"2,378","1,633",421,61,15,142,241,40,201,587,49.1,134,41.6,325,26346666,26,,,
Kyrie Irving,PG,DAL,60,60,"2,240","1,623",331,66,45,128,304,59,245,594,49.4,188,37.9,247,38888889,30,,,
Ja Morant,PG,MEM,61,59,"1,948","1,596",493,66,16,206,357,61,296,566,46.6,92,30.7,372,34005250,23,,,
C.J. McCollum,SG,NOP,75,75,"2,636","1,568",429,70,38,183,328,55,273,587,43.7,211,38.9,183,35802469,31,,,
Dejounte Murray,PG,ATL,74,74,"2,693","1,515",448,112,19,160,389,53,336,612,46.4,133,34.4,158,18214000,26,,,
Klay Thompson,SG,GSW,69,69,"2,278","1,509",163,49,29,123,286,39,247,546,43.6,301,41.2,116,43219440,32,,,
Darius Garland,PG,CLE,69,69,"2,447","1,490",538,85,9,199,185,28,157,522,46.2,169,41,277,34005250,23,,,
Devin Booker,SG,PHX,53,53,"1,835","1,471",293,51,18,145,240,46,194,527,49.4,111,35.1,306,36016200,26,,,
R.J. Barrett,SG,NYK,73,73,"2,475","1,431",201,31,15,164,368,60,308,510,43.4,121,31,290,23883929,22,,,
Spencer Dinwiddie,PG,BKN,79,79,"2,725","1,369",515,67,24,145,270,28,242,460,43.8,181,36.9,268,18857143,29,,,
Tyler Herro,SG,MIA,67,67,"2,336","1,347",280,51,16,158,360,27,333,487,43.9,203,37.8,170,27000000,23,,,
Buddy Hield,SG,IND,80,73,"2,481","1,344",225,92,26,139,400,67,333,475,45.8,288,42.5,106,18568183,30,,,
Fred VanVleet,PG,TOR,69,69,"2,534","1,335",495,123,38,140,280,30,250,437,39.3,207,34.2,254,40806300,28,,,
Paul George,SG,LAC,56,56,"1,939","1,332",288,83,20,176,342,45,297,459,45.7,158,37.1,256,45640165,32,,,
Terry Rozier,PG,CHA,63,63,"2,221","1,329",319,74,16,134,259,51,208,493,41.5,165,32.7,178,23205221,28,,,
Anfernee Simons,SG,POR,62,62,"2,170","1,306",253,42,14,128,161,18,143,467,44.7,212,37.7,160,24107143,23,,,
Bennedict Mathurin,SG,IND,78,17,"2,222","1,302",116,48,13,152,318,87,231,413,43.4,100,32.3,376,6916080,20,,,
Jamal Murray,PG,DEN,65,65,"2,133","1,298",400,66,16,145,257,48,209,473,45.4,172,39.8,180,33833400,25,,,
Jrue Holiday,PG,MIL,67,65,"2,182","1,290",495,79,25,197,341,79,262,490,47.9,158,38.4,152,34954667,32,,,
Jordan Clarkson,SG,UTA,61,61,"1,988","1,271",270,33,13,186,246,72,174,458,44.4,155,33.8,200,14260000,30,,,
D'Angelo Russell,PG,LAL,71,71,"2,298","1,263",437,69,29,186,215,35,180,445,46.9,194,39.6,179,17788462,26,,,
Josh Giddey,SG,OKC,76,76,"2,367","1,260",469,57,31,211,599,148,451,539,48.2,76,32.5,106,6587040,20,,,
Desmond Bane,SG,MEM,58,58,"1,841","1,247",254,56,22,126,291,43,248,450,47.9,166,40.8,181,3845083,24,,,
Tyrese Maxey,PG,PHI,60,41,"2,015","1,218",212,49,8,80,176,23,153,439,48.1,160,43.4,180,4343920,22,,,
James Harden,SG,PHI,58,58,"2,135","1,216",618,71,31,195,354,40,314,371,44.1,161,38.5,313,35640000,33,,,
