Team,Rank,Rec,Yds,Yds/Rec,TD,20+,40+,Lng,Rec 1st,Rec 1st %,Rec FUM
49ers,4,338,4049,12,30,56,6,57,188,55.6,4
Bears,32,223,2598,11.6,19,38,7,56,109,48.9,6
Bengals,6,418,4520,10.8,35,54,10,60,221,52.9,2
Bills,3,361,4291,11.9,35,51,12,98,212,58.7,3
Broncos,27,345,4007,11.6,18,55,12,67,166,48.1,1
Browns,21,335,3710,11.1,19,44,5,55,182,54.3,3
Buccaneers,19,499,4746,9.5,26,49,8,63,240,48.1,5
Cardinals,29,433,3966,9.2,17,40,3,77,189,43.6,4
Chargers,9,485,4791,9.9,26,49,7,55T,232,47.8,6
Chiefs,2,435,5250,12.1,41,73,13,67,272,62.5,5
Colts,30,398,3854,9.7,17,41,4,49,193,48.5,8
Commanders,16,344,3783,11,24,46,10,75,184,53.5,1
Cowboys,7,355,3911,11,28,50,5,68T,194,54.6,2
Dolphins,14,368,4765,13,30,62,14,84,220,59.8,3
Eagles,1,350,4364,12.5,25,63,13,78,195,55.7,6
Falcons,23,257,2927,11.4,17,37,5,75T,148,57.6,4
Giants,10,346,3431,9.9,17,28,5,65,170,49.1,4
Jaguars,11,394,4148,10.5,25,55,3,59,208,52.8,2
Jets,22,357,4040,11.3,15,47,10,79,191,53.5,6
Lions,12,383,4444,11.6,29,57,12,81,228,59.5,2
Packers,18,364,3890,10.7,27,56,7,63,186,51.1,8
Panthers,24,267,3246,12.2,16,49,12,75,138,51.7,4
Patriots,17,358,3815,10.7,19,57,9,53,166,46.4,7
Raiders,26,359,4182,11.6,28,58,10,60,193,53.8,5
Rams,28,346,3478,10,16,37,4,75,180,52,2
Ravens,8,300,3202,10.7,19,33,6,75T,149,49.7,6
Saints,20,338,3969,11.7,24,45,13,68,181,53.6,7
Seahawks,13,399,4282,10.7,30,50,6,54,206,51.6,4
Steelers,15,364,3661,10.1,12,44,3,57,189,51.9,2
Texans,31,352,3642,10.4,20,55,7,58,159,45.2,2
Titans,25,285,3227,11.3,16,41,11,69T,153,53.7,2
Vikings,5,448,4818,10.8,30,49,10,66,244,54.5,3
