Player,Pos,Team,GP,AB,H,2B,HR,RBI,AVG,OBP,SLG,OPS,WAR,Payroll Salary2023
Freddie Freeman,1B,LAD,159,612,199,47,21,100,0.325,0.407,0.511,0.918,5.77,27000000.00
Jose Abreu,1B,CHW,157,601,183,40,15,75,0.305,0.379,0.446,0.824,4.19,19500000.00
Nate Lowe,1B,TEX,157,593,179,26,27,76,0.302,0.358,0.492,0.851,3.21,4050000.00
Paul Goldschmidt,1B,STL,151,561,178,41,35,115,0.317,0.404,0.578,0.981,7.86,26000000.00
Vladimir Guerrero Jr.,1B,TOR,160,638,175,35,32,97,0.274,0.339,0.48,0.818,3.85,14500000.00
Ty France,1B,SEA,140,551,152,27,20,84,0.276,0.34,0.437,0.777,3.07,4100000.00
Christian Walker,1B,ARI,160,583,141,25,36,94,0.242,0.327,0.477,0.804,5.05,6500000.00
Ryan Mountcastle,1B,BAL,145,555,139,28,22,85,0.251,0.305,0.423,0.729,1.32,738400.00
Yulieski Gurriel,1B,HOU,146,545,132,40,8,53,0.242,0.288,0.36,0.647,-0.33,1250000.00
Trey Mancini,1B,HOU,143,519,124,23,18,63,0.239,0.319,0.391,0.71,1.87,7000000.00
Rowdy Tellez,1B,MIL,153,529,116,23,35,89,0.219,0.306,0.461,0.767,0.71,4950000.00
Josh Naylor,1B,CLE,122,449,115,28,20,79,0.256,0.319,0.452,0.771,1.57,3350000.00
Anthony Rizzo,1B,NYY,130,465,104,21,32,75,0.224,0.338,0.48,0.817,2.32,17000000.00
Owen Miller,1B,CLE,130,424,103,26,6,51,0.243,0.301,0.351,0.652,0.38,731100.00
Jared Walsh,1B,LAA,118,423,91,18,15,44,0.215,0.269,0.374,0.642,-0.65,2650000.00
Carlos Santana,1B,SEA,131,431,87,18,19,60,0.202,0.316,0.376,0.692,0.73,6725000.00
Vinnie Pasquantino,1B,KC,72,258,76,11,10,26,0.295,0.383,0.453,0.836,1.31,725500.00
Spencer Torkelson,1B,DET,110,360,73,16,8,28,0.203,0.285,0.319,0.604,-1.47,723100.00
Alfonso Rivas,1B,CHC,101,251,59,5,3,25,0.235,0.322,0.307,0.628,0.49,720000.00
Brandon Belt,1B,SF,78,254,54,9,8,23,0.213,0.326,0.35,0.676,0.35,9300000.00
Ryan O'Hearn,1B,KC,67,134,32,6,1,16,0.239,0.29,0.321,0.611,-0.38,1400000.00
Matt Thaiss,1B,LAA,29,69,15,1,2,8,0.217,0.321,0.319,0.64,0.03,740000.00
Brandon Dixon,1B,SD,5,14,3,1,0,1,0.214,0.214,0.286,0.5,-0.12,720000.00
